Sl.no,Subject,class ,Title of the book,Author ,Publication,Edition,Price of the book in Rs,Book Condition,Almirah no,Reck no
77,Computer,4,Syntax Base On Window 7,,Kips Publishing World,2017,RS239,Good,7586,3
78,Computer,4,I.T tools Plus,,Kips Publishing World,,Rs186,Satisfactory,7586,3
79,Computer,4,Right Click My book of computer,Sangeeta Kashyap,Ratna Sagar,,Rs219.90,Good,7586,3
80,Computer,5,Computer nook,Manpreet Kaur,Nurture India,2017,Rs195,Good,7586,3
81,Computer,2,Computer Masti,Prof Sridhar Iyer,Next Curriculum,2017,RS200,Good,7586,3
82,Computer,3,Computer Masti,Prof Sridhar Iyer,Next Curriculum,2017,RS200,Good,7586,3
83,Computer,7,Computer Vision,Vk Malhotra ,Three star Publication,,Rs165,Good,7586,3
84,Computer,2,Computer nook,Manpreet Kaur,Nurture India,,RS180,Good,7586,3
85,Computer,3,Computer Vision,Vk Malhotra,,,Rs125,Good,7586,3
86,Computer,4,Computer Masti,Prof Sridhar Iyer,Next Curriculum,2017,Rs299,Good,7586,3
87,Computer,4,Computer Vision,Vk Malhotra,Three star Publication,,RS135,Good,7586,3
88,Computer,3,Computer Masti,Prof Sridhar Iyer,Next Curriculum,2017,Rs249,Good,7586,3
89,Computer,1,Computer Vision,Vk malhotra,Three star Publication,,Rs155,Good,7586,3
90,Computer,2,Computer Vision,Vk malhotra,Three star Publication,,Rs120,Good,7586,3
91,Computer,1,Computer Nook,Manpreet Kaur,Nurture India,2017,Rs160,Good,7586,3
92,Computer,5,Computer Vision,Vk Malhotra,Three star Publication,,Rs140,Good,7586,3
93,Computer,3,Compter Nook,Manpreet Kaur,Nurture India,2017,Rs185,Good,7586,3
94,Computer,4,Computer Nook,Manpreet Kaur,Nurture India,2017,Rs190,Good,7586,3
95,Computer,6,Computer Vision,Vk Malhotra,Three star Publication,,Rs150,Good,7586,3
96,Computer,8,Computer Masti,Prof Sridhar Iyer,Next Education India pvt ltd,2017,Rs349,Good,7586,3
97,Computer,10,Computer Application,RN Mukherjee,Macmillan,2015,Rs309,Good,7586,3
98,Computer,9,Computer Masti,Next ,Next Education India pvt ltd,2017,Rs250,Good,7586,3
99,Computer,10,Frank Way to successful,RN Mukherjee,Frankson,2015,Rs309,Good,7586,3
100,Computer,11,Innovate,Vandita,Sapphire,2012,Rs180,Good,7586,3
101,Computer,4,E-World(1),"Anshu Kr ,Shweta Malik",Pearson India Education Ltd,2014,Rs245,Good,9124,4
61,Computer,6,New Learnwell Computer- 6,Gaurav Sharma,Holyfaith,,Rs 290,New,,
62,Computer,7,New Learnwell Computer- 7,Gaurav Sharma,Holyfaith,,Rs 300,New,,
63,Computer,8,New Learnwell Computer- 8,Gaurav Sharma,Holyfaith,,Rs 320,New,,
64,Computer,1,Tech brain computer science,H.C Madhavi,Arrow,2019,Rs 214,New,,
65,Computer,2,"Tech brain computer science-2
",H.C Madhavi,Arrow,2019,Rs 229,New,,
66,Computer,3,Tech brain computer science-3,H.C Madhavi,Arrow,2019,Rs 254,New,,
67,Computer,4,Tech brain computer science-4,H.C Madhavi,Arrow,2019,Rs 269,New,,
68,Computer,5,Tech brain computer science-5,H.C Madhavi,Arrow,2019,Rs 279,New,,
69,Computer,6,Tech brain computer science-6,H.C Madhavi,Arrow,2019,Rs 289,New,,
70,Computer,7,Tech brain computer science-7,H.C Madhavi,Arrow,2019,Rs 289,New,,
71,Computer,8,Tech brain computer science-8,H.C Madhavi,Arrow,2019,Rs 289,New,,
72,Computer,6,Middle school computer studies,Aditi Arora,Frank,2020,Rs 255,New,,
73,Computer,7,Middle school computer studies,Aditi Arora,Frank,2020,Rs 275,New,,
74,Computer,8,Middle school computer studies,Aditi Arora,Frank,2020,Rs 290,New,,
75,Computer,6,E World-6,Anita Goel,Pearson,2017,Rs 330,New,,
76,Computer,7,E World-7,Anita Goel,Pearson,2017,Rs 340,New,,
77,Computer,8,E World-8,Anita Goel,Pearson,2017,Rs 355,New,,
78,Computer,1,The brain game-1,Arun Soni,Navdeep,2020,Rs 195,New,,
79,Computer,2,"The brain game-2
",Arun Soni,Navdeep,2020,Rs 215,New,,
80,Computer,3,The brain game-3,Arun Soni,Navdeep,2020,Rs 230,New,,
81,Computer,4,The brain game-4,Arun Soni,Navdeep,2020,Rs 250,New,,
82,Computer,5,The brain game-5,Arun Soni,Navdeep,2020,Rs 270,New,,
83,Computer,1,My world of computer-1,Shewani Gupta,Gems,2020,Rs 200,New,,
84,Computer,2,My world of computer-2,Shewani Gupta,Gems,2020,Rs 225,New,,
85,Computer,3,My world of computer-3,Shewani Gupta,Gems,2020,Rs 235,New,,
86,Computer,4,My world of computer-4,Shewani Gupta,Gems,2020,Rs 245,New,,
87,Computer,5,My world of computer-5,Shewani Gupta,Gems,2020,Rs 275,New,,
88,Computer,6,My world of computer-6,Shewani Gupta,Gems,2020,Rs 300,New,,
89,Computer,7,My world of computer-7,Shewani Gupta,Gems,2020,Rs 325,New,,
90,Computer,8,My world of computer-8,Shewani Gupta,Gems,2020,Rs 395,New,,
91,Computer,1,E - World 1,Anshu Kumar,Pearson,2019,Rs 205,New,,
92,Computer,2,E - World 2,Anshu Kumar,Pearson,2019,Rs 225,New,,
93,Computer,3,E - World 3,Anshu Kumar,Pearson,2019,Rs 275,New,,
94,Computer,4,E - World 4,Anshu Kumar,Pearson,2019,Rs 285,New,,
95,Computer,5,E - World 5,Anshu Kumar,Pearson,2019,Rs 320,New,,
96,Computer,5,Ultimate in computer-5,Monika Madan,Navdeep,2018,Rs 260,New,,
97,Computer,6,Ultimate in computer-5,Monika Madan,Navdeep,2018,Rs 290,New,,
98,Computer,7,Ultimate in computer-5,Monika Madan,Navdeep,2018,Rs 310,New,,
99,Computer,8,Ultimate in computer-5,Monika Madan,Navdeep,2018,Rs 325,New,,
100,Computer,6,The brain game-6,Arun Soni,Navdeep,2018,Rs285,New,,
101,Computer,7,The brain game-7,Arun Soni,Navdeep,2018,Rs 295,New,,
102,Computer,9,Education of information technology,,Kips,2016,Rs 399,Good,,
103,Computer,6,Win with Computer-6,Alpana Shukla,Surabhi,,Rs 195,Good,,
104,Computer,8,Win with Computer-8,Alpana Shukla,Surabhi,,Rs 195,Good,,
102,Computer,4,E-World(2),"Anshu Kr ,Shweta Malik",Pearson India Education Ltd,2014,RS225,Good,9124,4
103,Social Study,1,Oscar Social Science ,Geeta Malhotra ,Three Star Publication,Cce,Rs 120,Satisfactory,8428,4
104,Social Study,1,Learning Edge Social studies,Chhavi Goyal,Eduline Publication,,Rs 240,Satisfactory,8428,4
105,Social Study,1,Harmony ,Sneha ,Fk Publication,2011,Rs 125,Satisfactory,8428,4
106,Social Study,1,New learnwell Social studies,"Neha Chakraborty,Tamanna Tripathi",Holy faith international (p) ltd,,Rs 230,Satisfactory,8428,4
107,Social Study,2,Samajik Adhyayan ,,Sumit ,,,Satisfactory,8428,4
108,Social Study,2,New learnwell Social studies,"Neha Chakraborty,Gurudarshan Singh",Holy faith international (p) ltd,,Rs 235,Satisfactory,8428,4
109,Social Study,2,Oscar Social Science ,Geeta Malhotra ,Three Star Publication,Cce,Rs 130,Satisfactory,8428,4
110,Social Study,2,An Informative Social Study,Augustine Manoor  ,Pacific ,2014,,Satisfactory,8428,4
111,Social Study,3,Harmony ,Sneha ,Fk Publication,2012,Rs 140,Satisfactory,8428,4
112,Social Study,3,New learnwell Social studies,"Neha Chakraborty,Tamanna Tripathi",Holy faith international (p) ltd,,Rs 235,Satisfactory,8428,4
113,Social Study,4,Oscar Social Science ,Geeta Malhotra ,Three Star Publication,Cce,Rs 155,Satisfactory,8428,4
114,Social Study,4,Learning Edge Social science,Chhavi Goyal,Eduline Publication,2017,Rs 320,Satisfactory,8428,4
115,Social Study,4,New learnwell Social studies,"Debjani Mukherjee,Tammana Tripathi",Holy faith international (p) ltd,,Rs 240,Satisfactory,8428,4
