Sl.no,Subject,class ,Title of the book,Author ,Publication,Edition,Price of the book in Rs,Book Condition,Almirah no,Reck no
2345,Hindi,3,कोपल,साहित्य रतन शिवदत्त चतुर्वेदी,फायर बॉल सीरीज,,179,good,8330,
2346,Hindi,1,बाल गीत,,रीम पब्लिकेशन,,106,good,8330,
2347,Hindi,3,इंद्रधनुष,गणेश दत्त शर्मा नृपेंद्र कुलश्रेष्ठ,3 स्टार पब्लिकेशन,1992,20,good,8330,
2348,Hindi,3,सहज,डॉक्टर कुमुद शर्मा,कोहिनूर,2011,88,good,8330,
2349,Hindi,3,हिंदी भाषा भारती,डॉक्टर देवेंद्र कुमार शर्मा,प्राची,2001,44,good,8330,
2350,Hindi,5,मेघा,शैल ठाकुर मीता श्रीवास्तव,कृति प्रकाशन,2012,255,good,8330,
2351,Hindi,5,वाटिका,डॉ राजेश धूल,आर्य बुक डिपो,2015,190,good,8330,
2352,Hindi,5,संस्कार,सोनिया राजपूत अमिताभ घागरा,फ्लैमिंगो बुक्स,,240.5,good,8330,
2353,Hindi,5,मातृ भाषा भारती,आरती विश्व विंदू,तरुण पब्लिकेशन,,90,good,8330,
2354,Hindi,5,अविरल,ललिता पांडे लक्ष्मी जैन,वी वा,2011,185,good,8330,
2355,Hindi,3,हिंदी पाठ्यपुस्तक, निशा खत्री, 9 हेड्स,,225,good,8330,2
2356,Hindi,3,कल्पथारू शिक्षक दर्शिका, डॉक्टर आरके दबास डॉक्टर माधुरी, न्यू सरस्वती हाउस,,95,good,8330,2
2357,Hindi,3,निकुंज, प्रभा शर्मा, रेडिकल बुक्स,2016,195,good,8330,2
2358,Hindi,3,नंदिनी, डॉ कृष्ण गोपाल कपूर, फायर बॉल सीरीज,,119,good,8330,2
2359,Hindi,3,गीत वाटिका, संजीव छाबड़ा, सफायर,,180,good,8330,2
2360,Hindi,3,पिटारा, आरके सभरवाल,मॉडर्न पब्लिकेशंस,,130,good,8330,2
2361,Hindi,3,भाषा संचय, डॉ देवेंद्र कुमार शर्मा डॉ अंजू शर्मा,  प्राची,2013,140,good,8330,2
2362,Hindi,3,रंगोली, गीता बुद्धि राजा, न्यू सरस्वती हाउस,2016,220,good,8330,2
2363,Hindi,2,नंदिनी, डॉ कृष्ण गोपाल कपूर, फायर बॉल सीरीज,,289,good,8330,2
2364,Hindi,4,कालिंदी, सज्जन कुमार सिन्हा, गुरुकुल,2017,235,good,8330,2
2365,Hindi,4,अंतरा, नीलम कुमारी, जेम्स,2014,213,good,8330,2
2366,Hindi,3,बाल भाषा भारती, विश्वनाथ भारद्वाज, गोयल ब्रदर्स,2014,185,good,8330,2
2367,Hindi,3,पलाश, डॉ राम  सुधार सिंह, आदित्य प्रकाशन,2015,190,good,8330,2
2368,Hindi,2, वीथिका, कल्पना शर्मा, जी राम बुक्स प्राइवेट लिमिटेड,,180,good,8330,2
2369,Hindi,2, वीथिका, कल्पना शर्मा, जी राम बुक्स प्राइवेट लिमिटेड,,180,good,8330,2
2370,Hindi,2, सुलेख सरिता, बीना  आहूजा,सोन का,,110,good,8330,2
2371,Hindi,1, स्नेहा, डॉ भारती पांडे, कॉर्डोवा पब्लिकेशन,,270,good,8330,2
2372,Hindi,7, हिंदी व्याकरण एवं भाषा बोधन, डॉक्टर देवेंद्र कुमार शर्मा,  प्राची,2006,75,good,8330,2
2373,Hindi,6, हिंदी इंटीग्रेटेड पाठ्यपुस्तक, श्रीमती निशा खत्री,  9 एप्स,,225,good,8330,2
2374,Hindi,7, हिंदी व्याकरण परिचय, रामेश्वर प्रसाद अखिलेश कुमार मिश्रा, विजन पब्लिकेशन,2006,70,good,8330,2
2375,Hindi,5, हिंदी सुलेखन,, फायरफ्लाई,,,good,8330,2
2376,Hindi,3, सु मंजरी, आरपी श्रीवास्तव,फ्रैंक एजुकेशनल,2016,230,good,8330,2
2377,Hindi,5, सरस्वती मैं और मेरा व्याकरण,डॉ माधुरी शालिनी शर्मा,सरस्वती हाउस,,92,good,8330,2
2378,Hindi,5, सुलेख माला,,आरो,,84,good,8330,2
2379,Hindi,5, हिंदी सुलेख,आनंद मोहन मिश्रा निखिल मोहन मिश्रा,न्यू जैन,2006,34,good,8330,2
2380,Hindi,5, भाषा म थान,त्रिलोक कौशिक,हेल्पलाइन पब्लिकेशंस,2007,84.9,good,8330,2
2381,Hindi,5, व्याकरण परिमल,डॉ रवींद्र दर गन सुख श्री कमलेश दर गन,सुल्तान चंद एंड संस,2003,70,good,8330,2
2382,Hindi,5, भाषा उत्थान,राजेश कुमार,हेल्पलाइन पब्लिकेशंस,,239.9,good,8330,2
2383,Hindi,5, पुष्पांजलि,डॉक्टर राजेंद्र श्रीमाली,हर्ष इन्फोटेक,,95,good,8330,2
2384,Hindi,5, लक्ष्य,उषा छाबड़ा,सफायर,,68,good,8330,2
2385,Hindi,5, रंगोली,गीता बुद्धि राजा,सरस्वती हाउस प्राइवेट लिमिटेड,,120,good,8330,2
2386,Hindi,5,   मृदुला,,जेम्स एजुकेशनल बुक,,129,good,8330,2
2387,Hindi,5, हिंदी सुलेख,निदा फातिमा,ace vision,2017,110,good,8330,2
2388,Hindi,5,वर्तिका,नंदेश्वर तिवारी मीना श्रीवास्तव,सन पब्लिकेशंस,2010,95,good,8330,2
2389,Hindi,5, मैं और मेरा व्याकरण,डॉ माधुरी शालिनी शर्मा,सरस्वती हाउस प्राइवेट लिमिटेड,,72,good,8330,2
2390,Hindi,5, मैं और मेरा व्याकरण,डॉ माधुरी शालिनी सॉन्ग,सरस्वती हाउस प्राइवेट लिमिटेड,,92,good,8330,2
2391,Hindi,7, व्याकरण भारती,हरिश्चंद्र,मोहित प्रकाशन,,65,good,8330,2
2392,Hindi,7, व्याकरण अभ्यास,सुखपाल गुप्ता,अविचल पब्लिकेशन,2005,40,good,8330,2
2393,Hindi,7, हिंदी व्याकरण प्रकाश,डॉ अश्विनी पाराशर,वंडर बुक्स प्राइवेट लिमिटेड,2003,63,good,8330,2
2394,Hindi,7, कोपल,साहित्य रत्न शिवदत्त चतुर्वेदी नीरज,इंस्पिरेशन फायर बॉल सीरीज,,232,good,8330,2
2395,Hindi,7, कामधेनु हिंदी व्याकरण एवं रचना,मीना सिंह,कामधेनु प्रकाशन,2012,75,good,8330,2
2396,Hindi,7, कोपल,साहित्य रत्न शिवदत्त चतुर्वेदी नीरज,फायर बॉल सीरीज,,194,good,8330,2
2397,Hindi,,खोल,यादवेंद्र शर्मा चंद्र,राष्ट्रभाषा प्रकाशन,1981,94,satisfactory,8330,3
2398,Hindi,,कौन जीता कौन हारा,विष्णु प्रभाकर,किताब घर,1993,30,satisfactory,8330,3
2399,Hindi,,भटकती आत्मा,मनमोहन कुमार तमन्ना,नवयुग प्रकाशन,1974,30,satisfactory,8330,3
2400,Hindi,,गुरु अमर दास,राजेश शर्मा,उमेश प्रकाशन,1971,3,satisfactory,8330,3
2401,Hindi,,विकलांग बालक,जगत सिंह,प्रभात प्रकाशन,2002,75,satisfactory,8330,3
2402,Hindi,,फिर याद आई,नरेंद्र शर्मा,अर्चना प्रकाशन,,4,satisfactory,8330,3
2403,Hindi,,हम एक उम्र से वाकिफ है,हरिशंकर परसाई,राजकमल प्रकाशन,1994,50,satisfactory,8330,3
2404,Hindi,,जय यात्रा,मन में नाथ गुप्त,रामकटोरा प्रकाशन,1961,1.75,satisfactory,8330,3
2405,Hindi,,नैतिक जीवन,रघुनाथ प्रसाद पाठक,रघुनाथ प्रसाद पाठक,1988,15,satisfactory,8330,3
2406,Hindi,,वह फिर नहीं आई,भगवती चरण वर्मा,राजकमल प्रकाशन,1968,3,satisfactory,8330,3
2407,Hindi,,सदी का सबसे बड़ा,काशीनाथ सिंह,राजकमल प्रकाशन,1989,45,satisfactory,8330,3
2408,Hindi,,1 इंच मुस्कान,राजेंद्र यादव,राजपाल एंड संस,1991,50,satisfactory,8330,3
2409,Hindi,,योग वशिष्ठ,श्रीराम शर्मा आचार्य,संस्कृति संस्थान,1972,10,satisfactory,8330,3
2410,Hindi,,काला फूल,श्रीकांत व्यास, शिक्षा भारती,1993,12,satisfactory,8330,3
2411,Hindi,,बिक्री कैसे बढ़ाए,सतराम बीएफ,राजपाल एंड संस,1962,3.4,satisfactory,8330,3
2412,Hindi,,कलापूर्ण एकांकी,डॉ दशरथ ओझा,राजपाल एंड संस,,4,satisfactory,8330,3
2413,Hindi,,हरे फूल की खुशबू,रमेश उपाध्याय,राजपाल एंड संस,1991,65,satisfactory,8330,3
2414,Hindi,,नागार्जुन,बाबा समाचार,राजकमल पेपर बैग्स,1993,18,satisfactory,8330,3
2415,Hindi,,भक्त सुमन, हरमन प्रसाद पीहर,गीता प्रेस,1996,2,satisfactory,8330,3
2416,Hindi,,भारतीय संस्कृति और सांस्कृतिक चेतना,रामखेलावन पांडे,अनुपम प्रकाशन,1969,4.25,satisfactory,8330,3
2417,Hindi,,आपका हिंदी,इंद्रनाथ,राजकमल प्रकाशन,1966,4.5,satisfactory,8330,3
2418,Hindi,,सच्चाई की करामात,श्री चार्यस सत्यार्थी,किताब घर,1979,8,satisfactory,8330,3
2419,Hindi,,गुनाहगार,रमनलाल वसंतलाल,साहित्य,1987,50,satisfactory,8330,3
2420,Hindi,,मना गत,गौतम बुक,  सर्वदा नंद,1951,2.5,satisfactory,8330,3
2421,Hindi,,सुनहरी मछलियां,डॉ राम गोपाल गोयल,सोनू राज प्रकाशन,1968,4.25,satisfactory,8330,3
2422,Hindi,,समर योग वियोग,शंकर,राजकमल प्रकाशन,1979,45,satisfactory,8330,3
2423,Hindi,,औरत के हक में,तस्लीमा नसरीन,वाणी प्रकाशन,1996,45,satisfactory,8330,3
2424,Hindi,,आंखों देखा ग़दर,अमृतलाल नागर,राजपाल एंड संस,1986,35,satisfactory,8330,3
2425,Hindi,,एक निर्भयता और सदाचार,जगत राम आर्य,किताब घर,1996,40,satisfactory,8330,3
2426,Hindi,,भारत के महान योगी,विश्वनाथ मुखर्जी,अनुराग प्रकाशन,1989,20,satisfactory,8330,3
2427,Hindi,,मानस मंथन,ब्रज भूषण,आर्य प्रकाशन मंडल,1994,75,satisfactory,8330,3
2428,Hindi,,भारत के महान योगी,विश्वनाथ मुखर्जी,अनुराग प्रकाशन,1988,95,satisfactory,8330,3
2429,Hindi,,गोपाल भांड,मनोरंजन,श्री ठाकुर प्रसाद,2014,60,satisfactory,8330,3
2430,Hindi,,कलम तलवार और त्याग,प्रेमचंद,भारतीय भाषा प्रकाशन,,35,satisfactory,8330,3
2431,Hindi,,कबीर वचनामृत,राममूर्ति त्रिपाठी,प्रभात प्रकाशन,1987,60,satisfactory,8330,3
2432,Hindi,,राज समाज और शिक्षा,कृष्ण कुमार,राजकमल प्रकाशन,2001,50,satisfactory,8330,3
2433,Hindi,,भारत रत्न से सम्मानित महान,विनोद तिवारी,मनोज पब्लिकेशंस,2017,80,satisfactory,8330,3
2434,Hindi,,वैभवशाली कैसे बने, जेम्स एलन,किताब घर,,40,satisfactory,8330,3
2435,Hindi,,रंगभूमि,प्रेमचंद,सुमित्र प्रकाशन,2007,80,satisfactory,8330,3
2436,Hindi,,रफी अहमद किदवई,सुमित व्यास,परिमल प्रकाशन,1975,7.5,satisfactory,8330,3
2437,Hindi,,नैतिक जीवन,रघुनाथ प्रसाद पाठक,सन्मार्ग,1988,15,satisfactory,8330,3
2438,Hindi,,समीक्षा,विश्वनाथ गॉड,राजकमल प्रकाशन,1972,4.5,satisfactory,8330,3
2439,Hindi,,कर्मवीर,गणेश शंकर विद्यार्थी,आत्माराम एंड संस,1967,3,good,8330,3
2440,Hindi,,गुरु नानक देव,प्रा रा नाथ वनप्लस थी,शिक्षा भारती कश्मीरी गेट,1987,4,good,8330,
2441,Hindi,,बहादुर शाह जफर,संसार चंद्र,सन्मार्ग प्रकाशन,,3,good,8330,
2442,Hindi,,काव्य और एक काला पानी,निर्मल वर्मा,राजकमल प्रकाशन,1983,50,good,8330,
2443,Hindi,,रश्मि बंधु,सुमित्रा नंदन पंत,राजकमल प्रकाशन,,2.4,good,8330,
2444,Hindi,,पगडंडियों का जमाना,हरिशंकर परसाई,राजकमल प्रकाशन,,5,good,8330,
2445,Hindi,,एक और निवेदन एक और निवेदन,गुरबचन सिंह,निजी प्रकाशन,,7,good,8330,
2446,Hindi,,नागार्जुन,राजकमल पेपर,राजकमल पेपर बॉक्स,1984,18,good,8330,
2447,Hindi,,ज्ञानरंजन,मोना राय,राजकमल पेपर बॉक्स,,10,good,8330,
2448,Hindi,,दो खिड़कियां,अमृता प्रीतम,राजकमल पेपर बॉक्स,1988,20,good,8330,
2449,Hindi,,प्रतिनिधि कविताएं,अमृता प्रीतम,राजकमल पेपर बॉक्स,1983,10,good,8330,
2450,Hindi,,किस्सा गुलाम,रमेश चंद्र शाह,राजकमल पेपर बॉक्स,1990,25,good,8330,
2451,Hindi,,पाली,भीष्म साहनी,राजकमल प्रकाशन,1989,60,good,8330,
2452,Hindi,,अपराधीनी,शिवानी,सरस्वती विहार,,6,good,8330,
2453,Hindi,,बीजक,कबीर साहब,श्री कबीर ज्ञान,,34,good,8330,
2454,Hindi,,क्रांतिकारी सुभाष,शंकर सुल्तानपुरी,हिंदी पॉकेट बुक्स,,,good,8330,
2455,Hindi,,बाणभट्ट की आत्मकथा,हजारी प्रसाद द्विवेदी,राजकमल पेपर बॉक्स,1984,25,good,8330,
2456,Hindi,,प्रतिनिधि कहानियां,काशीनाथ सिंह,राजकमल पेपर बॉक्स,1984,10,good,8330,
2457,Hindi,,कुरु कुरु स्वाहा,मनोहर श्याम जोशी,राजकमल पेपर बॉक्स,,13,good,8330,
2458,Hindi,,रश्मि रथी, रामधारी,इंडियन प्रेस प्राइवेट लिमिटेड,2007,25,good,8330,
2459,Hindi,,एक था मंत्री,विनोद सोमानी,चित्रगुप्त प्रकाशन,,,good,8330,
2460,Hindi,,बाल जीवनी माला,सीवी रमन,पीपुल्स पब्लिकेशन हाउस,,3.4,good,8330,
2461,Hindi,,झूला,शिवानी,राजपाल एंड संस,1979,10,good,8330,
2462,Hindi,,दो खिड़कियां,अमृता प्रीतम,राजकमल प्रकाशन,1971,40,good,8330,
2463,Hindi,,कचनार,बलराम सुमन,गीता भवन सीतारामडेरा,,5,good,8330,
2464,Hindi,,नैतिक शिक्षा की बातें हैं,देवराज,आशा प्रकाशन,,10,good,8330,
2465,Hindi,,चांद काला है,रसिक बिहारी,राजपाल एंड संस,,6,good,8330,
2466,Hindi,,श्री यंत्र,स्वामी दयानंद,भारती प्रकाशन,1987,15,good,8330,
2467,Hindi,,तुमने क्यों कहा था मैं सुंदर हूं,यशपाल,विप्लव कार्यालय,,4,good,8330,
2468,Hindi,,नमक का दरोगा,प्रेमचंद,समाज शिक्षा प्रकाशन,1991,10,good,8330,
2469,Hindi,,बिहार के तीर्थ,भगवती शरण मिश्रा,समाज शिक्षा प्रकाशन,1986,12,good,8330,
2470,Hindi,,महाभारत की कहानियां,श्री व्यक्तित्व हृदय,आर्य बुक डिपो,1989,10,good,8330,
2471,Hindi,,सफेद चिड़िया,विनोद चंद्र पांडेय,राजकमल प्रकाशन,1949,5,good,8330,
2472,Hindi,,कृष्ण पक्ष,विनोद चंद्र पांडे,राजकमल प्रकाशन,,4,good,8330,
2473,Hindi,,आधुनिक हिंदी आलोचना के बीच,बच्चन सिंह,राधा कृष्ण,,35,good,8330,
2474,Hindi,,देश मनी,डॉ शंकर दयाल शर्मा,प्रभात प्रकाशन,,75,good,8330,
2475,Hindi,,हम भारत के लोग,साले मोहम्मद नायक,समर प्रकाशन,1991,10,good,8330,
2476,Hindi,,बिखरे तिनके,अमृतलाल नागर,राजपाल एंड संस,,10,good,8330,
2477,Hindi,,वरदान,प्रेमचंद्र,सरस्वती प्रेस प्रकाशन,1996,40,good,8330,
2478,Hindi,,ययाति,विष्णु सखाराम,राजपाल एंड संस,1984,40,good,8330,
2479,Hindi,,मेरा संघर्ष,रामचंद्र वर्मा शास्त्री,जगत राम एंड संस,1993,250,good,8330,
2480,Hindi,,समृद्धि की ओर,आर् एम लाला,राजपाल एंड संस,1981,15,good,8330,
2481,Hindi,7,निकुंज,प्रभा शर्मा,रेडिकल बुक्स,2015,225,good,8330,
2482,Hindi,3,नव वसंत,डॉ प्रल्हाद कुमार पांडे,सिंडिकेट,,167,good,8330,
2483,Hindi,3,मेरी हिंदी,अंजना शर्मा,हर आनंद प्रकाशन,2012,195,good,8330,
2484,Hindi,1,गुंजन,संयुक्ता रुद्रा,मधुबन एजुकेशनल,2003,145,good,8330,
2485,Hindi,3,उमंग,जेवी तरंग,के पब्लिकेशन,,55,good,8330,4
2486,Hindi,3,हिंदी व्याकरण,डॉक्टर शोभ नाथ त्रिपाठी,गोल्डन शक्ल पब्लिकेशन,2010,65,good,8330,4
2487,Hindi,1,भाषा उपवन,संगीता एवं शालिनी,फ्रेंड एजुकेशनल,2008,110,good,8330,4
2488,Hindi,4,कल्पतरू,डॉक्टर आरके धवास,सरस्वती पाठ प्राइवेट लिमिटेड,,220,good,8330,4
2489,Hindi,7,कल्पतरु,डॉक्टर आरके देवास,सरस्वती प्राइवेट लिमिटेड,,260,good,8330,4
2490,Hindi,8,भाषा भवन,शालिनी श्रीवास्तव,फ्रैंक एजुकेशनल,2014,300,good,8330,4
2491,Hindi,2,रंगोली,गीता बुद्धि राजा,न्यू सरस्वती हाउस,2016,220,good,8330,4
2492,Hindi,4,हिंदी व्याकरण,कुसुम लता अग्रवाल,पीपी पब्लिकेशंस,,60,good,8330,4
2493,Hindi,4,सुलेख माला,,एरो पब्लिकेशंस,,84.9,good,8330,4
2494,Hindi,4,हिंदी सुलेखन,,फायर फ्लाई,,,good,8330,4
2495,Hindi,5,नूतन सरल हिंदी माला,कविता बासु,गोयल ब्रदर्स प्रकाशन,1965,,good,8330,4
2496,Hindi,4,सरल हिंदी व्याकरण,डॉ मनीषा शर्मा,किड्स वर्ल्ड,2009,85,good,8330,4
2497,Hindi,4,पूजा हिंदी रचना,शिवमूर्ति सिंह,पूजा प्रकाशन,,20,good,8330,4
2498,Hindi,4,मैं और मेरा व्याकरण,डॉ माधुरी,सरस्वती हाउस प्राइवेट लिमिटेड,,72,good,8330,4
2499,Hindi,4,भाषा रत्ना,सरिता श्रीवास्तव,सिंगल पब्लिकेशन,2016,225,good,8330,4
2500,Hindi,4,लक्ष्य,उषा छाबड़ा,दिल्ली पब्लिकेशन,,90,good,8330,4
2501,Hindi,4,सरिता,केपी सी दिनकर,माइल्ड पब्लिकेशन,2011,165,good,8330,4
2502,Hindi,4, लक्ष्य,उषा छाबरा,सफीर पब्लिकेशन,,100,good,8330,4
2503,Hindi,4,बिखरे मोती,गिरिजा गोस्वामी,दीपू प्रकाशन,2016,120,good,8330,4
2504,Hindi,4,लक्ष्य,उषा छाबरा,सफायर पब्लिकेश,2011,275,good,8330,4
2505,Hindi,4,बिखरे मोती,गिरी गोस्वामी,दीपू प्रकाशन,,140,good,8330,4
2506,Hindi,3,संस्कार,सोनिया राजपूत,फ्लैमिंगो बुक्स,,195,good,8330,4
2507,Hindi,4,व्याकरण परिचय,आशुतोष कुमार सिंह,गेम्स एजुकेशनल बुक,,142,good,8330,4
2508,Hindi,4,मैं और मेरा व्याकरण,डॉ माधुरी,सरस्वती हाउस प्राइवेट लिमिटेड,,72,good,8330,4
2509,Hindi,4,स्नेहा,डॉ भारती पांडे,कॉर्डोवा पब्लिकेशन,,265,good,8330,4
2510,Hindi,4,लक्ष्य,उषा छाबड़ा,सफायर पब्लिकेशन,,260,good,8330,4
2511,Hindi,4,कथा सरोवर ,डॉ विष्णु दयाल अग्रवाल,सोम सुधा,2001,260,good,8330,4
2512,Hindi,4,सारिका,साधना आडवाणी,न्यू सरस्वती हाउस,2016,200,good,8330,4
2513,Hindi,6,अमृत हिंदी पाठमाला,डॉक्टर शैलेश श्रीवास्तव,अमेठी,2012,102,good,8330,4
2514,Hindi,8,मधुरा,आभा पांडे,जी राम बुक्स,,280,good,8330,4
2515,Hindi,7,व्याकरण भर्ती,हरिश्चंद्र,मोहित प्रकाशन,,55,good,8330,4
2516,Hindi,7,सार्थक,हरिप्रिया फुल ओरिया,सूर्यांश पब्लिकेशंस,2006,105,good,8330,4
2517,Hindi,5,अंतरा,नीलम कुमारी,गेम्स एजुकेशनल,2013,195,good,8330,4
2518,Hindi,8,संकल्प,डॉक्टर आरके धवन,न्यू सरस्वती हाउस,,265,good,8330,4
2519,Hindi,8,उमंग,जेपी तरंग,एप्स के पब्लिकेशन,,160,good,8330,4
2520,Hindi,8,प्रायोगिक हिंदी एवं व्याकरण,सुल्तान चंद,सुल्तान चंद एंड संस,,40,good,8330,4
2521,Hindi,6,कल पत्र,डॉ माधुरी,न्यू सरस्वती हाउस,,110,good,8330,4
2522,Hindi,4,नवीन पलाश,डॉ अर्चना अग्रवाल,सुल्तान चंद एंड संस,2015,175,good,8330,4
2523,Hindi,8,नवीन पलाश,डॉ अर्चना अग्रवाल,सुल्तान चंद एंड संस,2012,80,good,8330,4
2524,Hindi,6,पलाश,डॉ मधु धवन,मैकमिलन,2006,,good,8330,4
2525,Hindi,8,नवीन पलाश,डॉ अर्चना अग्रवाल,सुल्तान चंद एंड संस,2016,235,good,8330,4
2526,Hindi,6,नवीन पलाश,डॉ अर्चना अग्रवाल,सुल्तान चंद एंड संस,2016,198,good,8330,4
2527,Hindi,8,नई उमंग,ममता रावल रघुवर रावल,एसके पब्लिकेशन,2009,95,good,8330,4
2528,Hindi,3,उमंग,जेपी तरंग,फ्यूचर किड्स,2014,115,good,8330,4
2529,Hindi,7,पल्लव सहायक पुस्तिका,,अमृता प्रकाशन,,50,good,8330,5
2530,Hindi,8,पल्लव,डॉ राम सुधार सिंह,अमृता प्रकाशन,2010,165,good,8330,5
2531,Hindi,4,पल्लव,डॉ पूरन चंद टंडन,नीता प्रकाशन,2013,,good,8330,5
2532,Hindi,6,पल्लव,डॉ पूरन चंद टंडन,नीता प्रकाशन,2011,78,good,8330,5
2533,Hindi,5,पल्लव,डॉ मीना पांडे,नीता प्रकाशन,2010,78,good,8330,5
2534,Hindi,3,व्यावहारिक,डॉ शोभा नाथ त्रिपाठी,गोल्डन शक्ल पब्लिकेशन,2005,60,good,8330,5
2535,Hindi,5,वसुंधरा,डॉक्टर वृंदा शर्मा,तरुण पब्लिकेशन,2015,225,good,8330,5
2536,Hindi,8,वसुंधरा,डॉक्टर वृंदा शर्मा,तरुण पब्लिकेशन,,260,good,8330,5
2537,Hindi,2,वसुंधरा,डॉक्टर वृंदा शर्मा,तरुण पब्लिकेशन,,125,good,8330,5
2538,Hindi,5,वसुंधरा,डॉक्टर वृंदा शर्मा,तरुण पब्लिकेशन,,125,good,8330,5
2539,Hindi,3,वसुंधरा,वृंदा शर्मा,तरुण पब्लिकेशन,,210,good,8330,5
2540,Hindi,4,सुमन जी री,आरती श्रीवास्तव,फ्रैंक एजुकेशनल ऐड्स,2016,240,good,8330,5
2541,Hindi,7,सुमन श्री,आरती श्रीवास्तव,फ्रैंक एजुकेशनल ऐड्स,2016,280,good,8330,5
2542,Hindi,6,सुमन जी री,आरती श्रीवास्तव,फ्रैंक एजुकेशनल ऐड्स,2016,265,good,8330,5
2543,Hindi,4,रीसेंट हिंदी व्याकरण,ममता रावल डॉक्टर रघुवीर रावत,मॉडर्न पब्लिकेशंस,,50,good,8330,5
2544,Hindi,4,पूजा हिंदी रचना,निशा सिन्हा,पूजा प्रकाशन,,6.5,good,8330,5
2545,Hindi,4,वसुंधरा,डॉक्टर वृंदा शर्मा,तरुण पब्लिकेशंस,,125,good,8330,5
2546,Hindi,1,फिनिक्स पिटारा,आरके सभरवाल,मॉडर्न पब्लिकेशंस,,120,good,8330,5
2547,Hindi,2,फिनिक्स पिटारा,आरके सभरवाल,मॉडर्न पब्लिकेशंस,,125,good,8330,5
2548,Hindi,7,मानक व्यवहारिक भाग 2,नीता श्रीवास्तव मंजू भारद्वाज,आर्य बुक डिपो,2012,126,good,8330,5
2549,Hindi,8,व्यवहारिक हिंदी व्याकरण,डॉक्टर सोमनाथ त्रिपाठी,गोल्डन सर्किल पब्लिकेशन,2005,80,good,8330,5
2550,Hindi,4,सरस्वती मैं और मेरा व्याकरण,डॉ माधुरी शालिनी शर्मा,सरस्वती हाउस प्राइवेट लिमिटेड,,108,good,8330,5
2551,Hindi,7,अक्षरा हिंदी व्याकरण,मधुर आध्या,जी राम बुक्स प्राइवेट,2012,180,good,8330,5
2552,Hindi,8,अक्षरा हिंदी व्याकरण,मधु रसिया,जी राम बुक्स प्राइवेट लिमिटेड,2010,185,good,8330,5
2553,Hindi,3,नवीन पलाश,डॉ अर्चना अग्रवाल,सुल्तान चंद,2008,75,good,8330,5
2554,Hindi,4,वर्तिका, नव देशभर तिवारी मीना श्रीवास्तव,सन पब्लिकेशन,2008,62,good,8330,5
2555,Hindi,3,भाषा सेतु,डॉक्टर देवेंद्र शर्मा डॉ अंजू शर्मा,प्राची इंडिया प्राइवेट लिमिटेड,2017,230,good,8330,5
2556,Hindi,4,भाषा सेतु,देवेंद्र शर्मा डॉ अंजू शर्मा,प्राची इंडिया प्राइवेट लिमिटेड,2017,230,good,8330,5
2557,Hindi,1,भाषा अधिगम एवं व्याकरण,देवेंद्र शर्मा डॉ अंजू शर्मा,प्राची इंडिया प्राइवेट लिमिटेड,2017,150,good,8330,5
2558,Hindi,3,भाषा अधिगम एवं व्याकरण,देवेंद्र शर्मा डॉ अंजू शर्मा,प्राची इंडिया प्राइवेट लिमिटेड  ,2010,180,good,8330,5
2559,Hindi,2,व्याकरण वाटिका,डॉ अनुराधा रामा गुप्ता,मधुबन एजुकेशनल बुक्स,2007,70,good,8330,5
2560,Hindi,3,वाटिका,डॉ राजेश धूल,आर्य बुक डिपो,2014,155,good,8330,5
2561,Hindi,2,वाटिका,राजेश धूल,आर्य बुक डिपो,2016,175,good,8330,5
2562,Hindi,4,निकुंज,प्रभा शर्मा,रेडिकल बुक्स,2015,185,good,8330,5
2563,Hindi,5,निकुंज,प्रभा शर्मा,रेडिकल बुक्स,2016,215,good,8330,5
2564,Hindi,1,नंदिनी हिंदी पाठ्यपुस्तक,डॉ कृष्ण गोपाल कपूर,फायर बॉल,,279,good,1234,2
2565,Hindi,P.P,अनुगूंज,इंदिरा वेद,एड्यू लाइन पब्लिकेशन,2016,140,good,1234,2
2566,Hindi,P.P,अनुगूंज ए,इंदिरा वेद,एड्यू लाइन पब्लिकेशन,2017,150,good,1234,2
2567,Hindi,5,पराग हिंदी की पाठ्यपुस्तक,डॉक्टर मनीषा शर्मा,सर्जन,,124,good,1234,2
2568,Hindi,5,पराग हिंदी की पाठ्यपुस्तक,डॉक्टर मनीषा शर्मा,श्रीजन,,199,good,1234,2
2569,Hindi,1,व्याकरण पराग,आदित्य कुमार मिश्रा,सोम सुधा प्रकाशन,2013,80,good,1234,2
2570,Hindi,5,सरस्वती सारिका हिंदी पाठमाला,डॉ साधना आडवाणी,न्यू सरस्वती हाउस,2016,210,good,1234,2
2571,Hindi,2,सरस्वती सारिका हिंदी पाठमाला,डॉ साधना आडवाणी,न्यू सरस्वती हाउस,2017,195,good,1234,2
2572,Hindi,2,सरस्वती सारिका हिंदी पाठमाला,डॉ साधना आडवाणी,न्यू सरस्वती हाउस,2016,180,good,1234,2
2573,Hindi,5,नूतन सरल हिंदी माला,संपादक मंडल कविता बासु,गोयल ब्रदर्स प्रकाशन,2010,140,good,1234,2
2574,Hindi,5,नूतन सरल हिंदी माला ,कविता बासु गीता गौतम,गोयल ब्रदर्स,2010,120,good,1234,2
2575,Hindi,5,नूतन सरल हिंदी माला,कविता बासु गीता गौतम,गोयल ब्रदर्स प्रकाशन,2010,54,good,1234,2
